barcode,series,control symbol,title,contents dates,contents start year,contents end year,original access status,original access decision reasons,original access decision date,current access status,current access decision reasons,current access decision date,days closed,years closed,url
12873651,A4090,723/5/42 PART 2,Contingency plans - Papua New Guinea - DGOP-A aspects,1959 - 1992,1959,1992,Closed,Withheld pending adv,2011-10-05 00:00:00,Open,,2017-03-08 00:00:00,1981,5 years 155 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=12873651
1749554,A1838,193/10/1 PART 24,Iran - Relations with Australia - Political,1979 - 1979,1979,1979,Closed,Withheld pending adv,2010-06-10 00:00:00,Open,,2017-01-10 00:00:00,2406,6 years 215 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1749554
1754271,A1838,680/7/7 PART 2,Export of civil aircraft,1974 - 1978,1974,1978,Closed,Withheld pending adv,2012-01-11 00:00:00,Open,,2017-10-11 00:00:00,2100,5 years 274 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1754271
1755341,A1838,684/2/2 PART 2,NATO - Relations with Australia,1983 - 1987,1983,1987,Closed,Withheld pending adv,2016-11-08 00:00:00,Open,,2017-11-28 00:00:00,385,1 years 20 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1755341
13554364,ST2660/1,406/4,Discussions between Admiral Thach and his staff and AJASS [Box 4],1963 - 1963,1963,1963,Closed,Withheld pending adv,2014-10-22 00:00:00,Open,Withheld pending adv,2017-01-17 00:00:00,818,2 years 88 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=13554364
13554365,ST2660/1,438/04,A/S tactical publications [Box 4],1959 - 1959,1959,1959,Closed,Withheld pending adv,2014-10-22 00:00:00,Open,Withheld pending adv,2017-01-17 00:00:00,818,2 years 88 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=13554365
13555122,ST2660/1,438/1,Trials of ATH 3 [Box 6],1949 - 1958,1949,1958,Closed,Withheld pending adv,2014-10-22 00:00:00,Open,Withheld pending adv,2017-01-17 00:00:00,818,2 years 88 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=13555122
13594344,SP889/1,405/25,TAS warfare reports,1962 - 1962,1962,1962,Closed,Withheld pending adv,2014-10-22 00:00:00,Open,Withheld pending adv,2017-01-17 00:00:00,818,2 years 88 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=13594344
13685217,A4090,529/1/16 PART 1,DSTO records of unidentified Aerial phenomena,1974 - 1996,1974,1996,Closed,Withheld pending adv,2015-10-22 00:00:00,Open,,2017-06-02 00:00:00,589,1 years 224 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=13685217
1755557,A1838,762/2 PART 4,Hong Kong - Reports on economic developments,1979 - 1981,1979,1981,Closed,Withheld pending adv,2012-01-20 00:00:00,Open,,2017-07-03 00:00:00,1991,5 years 165 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1755557
1758772,A1838,907/2 PART 23,United Nations Security Council - Elections,1978 - 1979,1978,1979,Closed,Withheld pending adv,2016-10-10 00:00:00,Open,,2017-12-05 00:00:00,421,1 years 56 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1758772
1758773,A1838,907/2 PART 26,United Nations Security Council - Elections,1982 - 1983,1982,1983,Closed,Withheld pending adv,2016-04-05 00:00:00,Open,,2017-12-05 00:00:00,609,1 years 244 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1758773
