899429,A5799,276/1952,JIB - [portion of title exempt],1952
899430,A5799,69/1953,Joint Intelligence Bureau - [portion of title exempt],1953
895214,AWM123,1072,Meeting of Commonwealth Defence Ministers June 1951: Minutes of Meetings and Memoranda. MDM (51) 1-6 Meetings and MDM (51) 1-10 Memoranda,1951
850936,A2031,272/1953,Strategic planning in relation to British Commonwealth Defence - probable form and scale of attack against and within the ANZAM region to mid 1955.,1953
856980,D1918,S2997,Director's memoranda re Home Office suspect index,1947
868631,A4940,C1952,Antarctic policy 1958-1960,1960
882195,D1915,SA1028,Mrs WANZEK - deceased - desire of Mrs MACEY to bring children to Australia,1943
885006,D1915,SA1723,GOODE Mrs AK - delegate to Geneva conference,1927
885276,D1915,SA1926,JUST Anna-Louise - naturalization,1943
888244,D1915,SA3303,NEUMANN Victor - naturalization,1933
704257,A1209,1960/219,Report of the Logistic Committee - 3rd meeting Bangkok 1960,1960
704259,A1209,1960/446,Plan for defence of South East Asia MPO Plan 4/60,1960
704262,A1209,1960/430,Main trends in Soviet capabilities and policies 1959-1964,1960
705133,A5954,1458/1,Possible Developments in Laos up to 1960,1956
705137,A5954,1458/5,Probable Communist Courses of Action in Asia up to 1960,1956
706560,A816,25/301/604,Intelligence in the Middle East,1957
707067,A1209,1960/92 PART 2,JIC London - weekly review of current intelligence - 1960,1960
707068,A1209,1960/92 PART 1,JIC London - weekly review of current intelligence 1960,1960
707091,A1209,1960/17,Main trends in Soviet capabilities and policies 1958-1963 [part of title exempt],1958
709941,A1209,1959/916,SEATO - Logistics Committee meeting Bangkok - August 1959. Report,1959
709954,A1209,1959/861,11th SEATO Military Advisers Meeting MPO Plan 2B/59,1959
709964,A1209,1959/1040,SEATO 5th intelligence committee meeting Bangkok Nov 1959 Australian representation,1959
709970,A1209,1959/1172,SEATO - Report of the intelligence committee meeting Nov 1959,1959
722274,A4398,25/301 PART 1,"L14 subject registration booklet for the 25/301/- section of Defence classified file series, A816: intelligence (file numbers 5 - 616)  - Book 1",1956
724696,A1209,1957/5694,"SEATO Council Meeting, Canberra 1957. Daily verbatim record",1957
724702,A1209,1957/5676,ANZAM Military Staff Planners Meeting - Pearl Harbour - October 1955,1956
726732,A816,14/301/762,Operation of SEATO plans in relation to Hong Kong,1957
726796,A367,C108490,"CONAGHAN, Robert A.",1950
726798,A367,C108408,"BUDDLE, Thomas Gordon, THOMAS, John Henry",1953
726898,A1209,1957/5697,USSR. Weapons development - general,1962
726900,A1209,1957/6044,"ANZAM Intelligence Meeting, Singapore, November 1956",1957
733835,A5954,2365/2,Meeting of [a UK officer] with Defence Committee 8 April 1954,1954
733839,A5954,2365/10,Defence Signals Branch - [remainder of title exempt],1954
733840,A5954,2365/11,Intelligence sources and priorities report by Mr STEWART,1954
735073,A2031,30/1959,South East Asian Trade Organization - Tenth Military Advisers Meeting - South East Asian Trade Organization Military Planning Office plan 5/59,1959
