barcode,control symbol,title,series,series title,contents dates,contents start year,contents end year,access status,access decision reasons,access decision date
12332,1911/21007,Salvatore Pagano Naturalization Issued to Immigration T/N 61/31000.,A1,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1961 - 1961,1961,1961,Closed,Pre Access Recorder,1981-07-28 00:00:00
15403,1913/6809,Meeting of Commonwealth Literary Fund (Missing as at 26/8/98).,A1,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1913 - 1913,1913,1913,Closed,Pre Access Recorder,1981-09-28 00:00:00
33093,1915/11532,Wilhelm CA Simonsen - Naturalization Issued to Immigration (Missing),A1,"Correspondence files, annual single number series [Main correspondence files series of the agency]",1961 - 1961,1961,1961,Closed,Pre Access Recorder,1981-12-03 00:00:00
46663,1907/554,Report of Conference of Statisticians (File Cover Only),A2,"Correspondence files, annual single number series",1904 - 1920,1904,1920,Closed,Pre Access Recorder,1973-06-20 00:00:00
47046,1915/346,Rossino - Mario,A2,"Correspondence files, annual single number series",1915 - 1915,1915,1915,Closed,Pre Access Recorder,1973-06-28 00:00:00
47231,1916/145,Immigration to Australia of Persons suffering from disease,A2,"Correspondence files, annual single number series",1916 - 1916,1916,1916,Closed,Pre Access Recorder,1973-07-03 00:00:00
48569,1919/369,Naval Matters. Petition from JGH Rubie relative to his Removal from Royal Australian Naval College,A2,"Correspondence files, annual single number series",1918 - 1919,1918,1919,Closed,Pre Access Recorder,1973-09-13 00:00:00
49365,1920/1349,Science & Industry - Resignations,A2,"Correspondence files, annual single number series",1920 - 1920,1920,1920,Closed,Pre Access Recorder,1987-04-22 00:00:00
54990,1,Glass plate negative photograph of Norfolk Island - Mission Chapel,A88,Negatives of photographs of Norfolk Island,1914 - 1914,1914,1914,Closed,Pre Access Recorder,2002-02-26 00:00:00
55515,G1924/1823,ORDERS FOR CONVEYANCE OF MEMBERS F. N. STATEMENT OF ACCOUNTS.,A106,"Correspondence files, annual single number series with 'G' [General] prefix",01 Jan 1800 - 01 Jan 1800,1800,1800,Closed,Pre Access Recorder,1987-04-22 00:00:00
55545,G1924/3039,Increments to Permanent Professional Officers.,A106,"Correspondence files, annual single number series with 'G' [General] prefix",1918 - 1925,1918,1925,Closed,Withheld pending adv,2012-07-16 00:00:00
58004,2,Glass plate negative photograph of Norfolk Island - Landing at Cascade Station,A88,Negatives of photographs of Norfolk Island,1914 - 1914,1914,1914,Closed,Pre Access Recorder,2002-02-26 00:00:00
58254,NN,"ANNUAL SINGLE NUMBER SYSTEM WITH ""B"" PREFIX eg B 09/1234 1 2",A101,"Correspondence files, 'B' Series (NSW, Vic Tas)",01 Jan 1800 - 01 Jan 1800,1800,1800,Closed,Pre Access Recorder,1987-04-22 00:00:00
58255,WHOLE SERIES,Department Home Affairs Correspondence files 'B' series (NSW Vic Tas),A101,"Correspondence files, 'B' Series (NSW, Vic Tas)",1904 - 1909,1904,1909,Closed,Pre Access Recorder,1975-10-07 00:00:00
58449,L1915/177,Right to conpensation. Land vested in Minister of Public Instruction,A209,"Correspondence Files, Administrative Lands Series",1912 - 1915,1912,1915,Closed,Pre Access Recorder,1971-05-24 00:00:00
61459,DSG24/856,Canberra's 1st 100 years by Dr. Robinson,A361,"Correspondence files, annual single number series with 'DSG' [District Surveyor General] prefix",1924 - 1924,1924,1924,Closed,Pre Access Recorder,1979-11-14 00:00:00
61995,C82067,Heinrich Johannes RATHJENS Applicant for naturalization,A367,"Correspondence files, single number series with year prefix, 1916-1927, and 'C' prefix, 1927-1953 [Main correspondence files series of the agency]",1949 - 1950,1949,1950,Closed,Pre Access Recorder,1981-11-30 00:00:00
62330,C7106,Industrial - Compensation - R C White (Ganger),A292,"Correspondence files, single number series with 'C' [Commonwealth Departments] prefix",1934 - 1943,1934,1943,Closed,Pre Access Recorder,1980-10-03 00:00:00
62579,C24002 PART 5,Cartage of sand and gravel to sandwash,A292,"Correspondence files, single number series with 'C' [Commonwealth Departments] prefix",1952 - 1953,1952,1953,Closed,Pre Access Recorder,1980-09-09 00:00:00
62581,C24021 PART 3,"Section 14, Ainslie - Multiple dwelling units - 72 flats",A292,"Correspondence files, single number series with 'C' [Commonwealth Departments] prefix",1950 - 1951,1950,1951,Closed,Pre Access Recorder,1980-09-09 00:00:00
62582,C24021 PART 4,"Section 14, Ainslie - Multiple dwelling units - 72 flats",A292,"Correspondence files, single number series with 'C' [Commonwealth Departments] prefix",1951 - 1952,1951,1952,Closed,Pre Access Recorder,1980-09-09 00:00:00
62583,C24021 PART 5,"Section 14, Ainslie - Multiple dwelling units",A292,"Correspondence files, single number series with 'C' [Commonwealth Departments] prefix",1952 - 1956,1952,1956,Closed,Pre Access Recorder,1980-09-09 00:00:00
62640,C26062 PART 3,University House - Contract with Howie Moffatt and Company,A292,"Correspondence files, single number series with 'C' [Commonwealth Departments] prefix",1950 - 1951,1950,1951,Closed,Pre Access Recorder,1980-09-09 00:00:00
62641,C26062 PART 4,University House - Contract with Howie Moffatt and Company,A292,"Correspondence files, single number series with 'C' [Commonwealth Departments] prefix",1951 - 1952,1951,1952,Closed,Pre Access Recorder,1980-09-09 00:00:00
