barcode,control symbol,title,series,series title,contents dates,contents start year,contents end year,access status,access decision reasons,access decision date
3016121,1981/1791 PART 9,Australia's relations with Indonesia - East Timor,A1209,"Correspondence files, annual single number series [classified] with occasional C [classified] suffix [Main correspondence files series of the agency]",1981 - 1981,1981,1981,Closed,Withheld pending adv,2016-01-06 00:00:00
3338536,1558/1/44 PART 57,International Court of Justice - Advisory opinions French Nuclear tests Australia vs France,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1974 - 1974,1974,1974,Closed,Withheld pending adv,2016-01-06 00:00:00
3338532,1558/1/44 PART 53,International Court of Justice - Advisory opinions French Nuclear tests Australia vs France,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1973 - 1974,1973,1974,Closed,Withheld pending adv,2016-01-06 00:00:00
1728820,48/1/3 PART 12,Poland - Relations with Australia,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1980 - 1981,1980,1981,Closed,Withheld pending adv,2016-01-07 00:00:00
9507482,1983/1023,Metropolitan Policy Plan Review 1983 - defence and scientific communications,A1340,"Correspondence files, annual single number series",1983 - 1983,1983,1983,Closed,Withheld pending adv,2016-01-11 00:00:00
31176384,C1989/6365,Cabinet submission - Cape York Spaceport - Australian Space Office aspects - 1989 - part 1,A14017,"General correspondence files, with C and M prefixes",27 Nov 1987 - 30 May 1990,1987,1990,Closed,Withheld pending adv,2016-01-12 00:00:00
1555845,720/5/1/3 PART 1,Australia/United Kingdom - Nuclear co-operation - Implementation of administrative arrangements,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1979 - 1980,1979,1980,Closed,Withheld pending adv,2016-01-15 00:00:00
31176390,C1990/6758,Missile technology control regime - Australian Space Office interests - 1990 - part 1,A14017,"General correspondence files, with C and M prefixes",04 Nov 1989 - 24 Sep 1990,1989,1990,Closed,Withheld pending adv,2016-01-15 00:00:00
11134340,1975/366,War Crimes Trials Records - Access Policy,A750,"Correspondence files, annual single number series with occasional 'HA' [Home Affairs] prefix [Main correspondence files series of the agency]",1974 - 1982,1974,1982,Closed,Withheld pending adv,2016-01-21 00:00:00
3338537,1558/1/44 PART 58,International Court of Justice - Advisory opinions French Nuclear tests Australia vs France,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1974 - 1974,1974,1974,Closed,Withheld pending adv,2016-02-02 00:00:00
546448,919/13/4 PART 40,France - Disarmament - Nuclear Weapons Testing,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1973 - 1973,1973,1973,Closed,Withheld pending adv,2016-02-02 00:00:00
1728869,48/1/3/12 PART 1,Poland - Foreign policy - Relations with Australia - Contingency measures,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1980 - 1980,1980,1980,Closed,Withheld pending adv,2016-02-03 00:00:00
31725180,3/37,I D Emerton,A11099,Cabinet Notebooks,24 Feb 1976 - 04 May 1976,1976,1976,Closed,Withheld pending adv,2016-02-04 00:00:00
31725156,3/13,J L Menadue,A11099,Cabinet Notebooks,12 Nov 1975 - 18 Mar 1976,1975,1976,Closed,Withheld pending adv,2016-02-04 00:00:00
60211588,800/146/1 PART 1,China - relations with third countries : USA - political and general,A10028,"Correspondence files, multiple number series (first uniform post system) (Peking/Beijing)",29 Dec 1976 - 09 Sep 1977,1976,1977,Closed,Withheld pending adv,2016-02-04 00:00:00
60211609,801/2/2 PART 7,China : political and general - trends and forecasts - trends at the centre,A10028,"Correspondence files, multiple number series (first uniform post system) (Peking/Beijing)",27 Mar 1979 - 30 Sep 1979,1979,1979,Closed,Withheld pending adv,2016-02-04 00:00:00
60211623,803/2/1 PART 1,China : economic - financial administration - financial structures,A10028,"Correspondence files, multiple number series (first uniform post system) (Peking/Beijing)",15 Apr 1977 - 18 Sep 1980,1977,1980,Closed,Withheld pending adv,2016-02-05 00:00:00
60211620,802/1/1 PART 2,China : defence - policy and general - major policy statements,A10028,"Correspondence files, multiple number series (first uniform post system) (Peking/Beijing)",17 Sep 1980 - 04 Jun 1981,1980,1981,Closed,Withheld pending adv,2016-02-05 00:00:00
