barcode,control symbol,title,series,series title,contents dates,contents start year,contents end year,access status,access decision reasons,access decision date
3338536,1558/1/44 PART 57,International Court of Justice - Advisory opinions French Nuclear tests Australia vs France,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1974 - 1974,1974,1974,Closed,Withheld pending adv,2016-01-06 00:00:00
3338532,1558/1/44 PART 53,International Court of Justice - Advisory opinions French Nuclear tests Australia vs France,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1973 - 1974,1973,1974,Closed,Withheld pending adv,2016-01-06 00:00:00
1728820,48/1/3 PART 12,Poland - Relations with Australia,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1980 - 1981,1980,1981,Closed,Withheld pending adv,2016-01-07 00:00:00
1555845,720/5/1/3 PART 1,Australia/United Kingdom - Nuclear co-operation - Implementation of administrative arrangements,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1979 - 1980,1979,1980,Closed,Withheld pending adv,2016-01-15 00:00:00
3338537,1558/1/44 PART 58,International Court of Justice - Advisory opinions French Nuclear tests Australia vs France,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1974 - 1974,1974,1974,Closed,Withheld pending adv,2016-02-02 00:00:00
546448,919/13/4 PART 40,France - Disarmament - Nuclear Weapons Testing,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1973 - 1973,1973,1973,Closed,Withheld pending adv,2016-02-02 00:00:00
1728869,48/1/3/12 PART 1,Poland - Foreign policy - Relations with Australia - Contingency measures,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1980 - 1980,1980,1980,Closed,Withheld pending adv,2016-02-03 00:00:00
1514419,3004/12/17 PART 5,South East Asia - USSR representation - Interests and policy,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1977 - 1978,1977,1978,Closed,Withheld pending adv,2016-03-15 00:00:00
1514409,3004/12/5 PART 4,South East Asia - USSR representation - Interests and policy - General,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1972 - 1976,1972,1976,Closed,Withheld pending adv,2016-03-16 00:00:00
3341240,1634/76/7 PART 1,Indo China refugees - Policies and programs of other countries - Indonesia,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1979 - 1981,1979,1981,Closed,Withheld pending adv,2016-03-16 00:00:00
587774,69/1/4/35 PART 11,USSR - Relations with East & South East Asia,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1971 - 1972,1971,1972,Closed,Withheld pending adv,2016-03-17 00:00:00
1516828,3014/11/161 PART 22,South Vietnam - Relations with USA,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1968 - 1969,1968,1969,Closed,Withheld pending adv,2016-03-21 00:00:00
1508425,3020/10/21 PART 1,North Vietnam - Relations with Australia - Annual review,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1975 - 1978,1975,1978,Closed,Withheld pending adv,2016-03-21 00:00:00
546466,919/13/4 PART 58,France - Disarmament - Nuclear Weapons Testing,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1973 - 1974,1973,1974,Closed,Withheld pending adv,2016-03-21 00:00:00
1758773,907/2 PART 26,United Nations Security Council - Elections,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1982 - 1983,1982,1983,Closed,Withheld pending adv,2016-04-05 00:00:00
1389064,528/1/3/1 PART 2,Hong Kong - Political situation status of Hong Kong - China-UK negotiations,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1983 - 1983,1983,1983,Closed,Withheld pending adv,2016-04-05 00:00:00
1505946,3038/11/64 PART 8,East Timor - Relations with Portugal,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1982 - 1983,1982,1983,Closed,Withheld pending adv,2016-04-05 00:00:00
1510970,3107/40/52 PART 83,China - Relations with USSR,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1979 - 1980,1979,1980,Closed,Withheld pending adv,2016-04-05 00:00:00
1511775,3107/40/175 PART 6,China - Relations with New Zealand,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1974 - 1976,1974,1976,Closed,Withheld pending adv,2016-04-05 00:00:00
1875954,935/29/2 PART 9,Portugal East Timor,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1981 - 1982,1981,1982,Closed,Withheld pending adv,2016-04-05 00:00:00
1389056,528/1/3 PART 5,Hong Kong - Political situation status of Hong Kong,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1983 - 1984,1983,1984,Closed,Withheld pending adv,2016-04-05 00:00:00
1389055,528/1/3 PART 4,Hong Kong - Political situation status of Hong Kong,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1982 - 1983,1982,1983,Closed,Withheld pending adv,2016-04-05 00:00:00
1389066,528/1/3/1 PART 3,Hong Kong - Political situation status of Hong Kong - China-UK negotiations,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1983 - 1983,1983,1983,Closed,Withheld pending adv,2016-04-05 00:00:00
1389123,528/1/3/6 PART 1,Hong Kong - Political situation status of Hong Kong - Attitudes of other countries Australia/NewZealand,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1983 - 1983,1983,1983,Closed,Withheld pending adv,2016-04-05 00:00:00
3338506,1558/1/44 PART 42,International Court of Justice - Advisory opinions French Nuclear tests Australia vs France,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1973 - 1973,1973,1973,Closed,Withheld pending adv,2016-04-05 00:00:00
3338478,1558/1/44 PART 13,International Court of Justice - Advisory opinions French Nuclear tests Australia vs France,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1972 - 1973,1972,1973,Closed,Withheld pending adv,2016-04-05 00:00:00
3338524,1558/1/44 PART 49,International Court of Justice - Advisory opinions French Nuclear tests Australia vs France,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1973 - 1974,1973,1974,Closed,Withheld pending adv,2016-04-05 00:00:00
548750,3107/40/87 PART 18,China - Relations with Japan,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1973 - 1973,1973,1973,Closed,Withheld pending adv,2016-04-05 00:00:00
546453,919/13/4 PART 45,France - Disarmament - Nuclear Weapons Testing,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1973 - 1973,1973,1973,Closed,Withheld pending adv,2016-04-05 00:00:00
556369,3100/5/7 PART 3,Special Regional Developments - Regional Political Developments - China,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1973 - 1974,1973,1974,Closed,Withheld pending adv,2016-04-05 00:00:00
1511402,3107/19/2 PART 4,China - Industries - General,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1975 - 1984,1975,1984,Closed,Withheld pending adv,2016-04-11 00:00:00
1511578,3107/40/114 PART 55,China - Relations with Vietnam,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1982 - 1983,1982,1983,Closed,Withheld pending adv,2016-04-11 00:00:00
1874211,49/2/1/1 PART 15,Portugal - Foreign policy - Portuguese Timor,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1983 - 1984,1983,1984,Closed,Withheld pending adv,2016-04-11 00:00:00
1887707,3107/2/23 PART 2,China - Political - General - Canadian material,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1976 - 1988,1976,1988,Closed,Withheld pending adv,2016-04-11 00:00:00
1887939,3107/40/64 PART 1,China - Relations with Portugal,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1945 - 1991,1945,1991,Closed,Withheld pending adv,2016-04-11 00:00:00
1389038,519/1 PART 18,Formosa political - General,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1980 - 1981,1980,1981,Closed,Withheld pending adv,2016-04-11 00:00:00
1511260,3107/16/6 PART 14,China - Fifth five year plan,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1980 - 1980,1980,1980,Closed,Withheld pending adv,2016-04-11 00:00:00
1511576,3107/40/114 PART 54,China - Relations with North Vietnam,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1981 - 1982,1981,1982,Closed,Withheld pending adv,2016-04-11 00:00:00
1510700,3107/2/21 PART 66,China - Political - General,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1980 - 1980,1980,1980,Closed,Withheld pending adv,2016-04-11 00:00:00
1510792,3107/3/1 PART 8,China - Political parties - Communist party,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1958 - 1961,1958,1961,Closed,Withheld pending adv,2016-04-11 00:00:00
580304,766/3/64 PART 1,China - Relations with Guinea,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1960 - 1971,1960,1971,Closed,Withheld pending adv,2016-04-11 00:00:00
561225,491/14/1 PART 2,China - Administration in Communist China - General,A1838,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1952 - 01 Jan 1800,1952,1800,Closed,Withheld pending adv,2016-04-11 00:00:00
